<DTYYYYMMDD>,<SIGNAL>,<OPEN>,<FACTOR>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<FEE>,<FINALPRICE>
19981201,1,430,,430,422,422,990,93.26,328.74
19981202,1,412,,412,412,412,1352,91.05,320.95
19981203,1,409,,420,409,420,818,92.82,327.18
19981204,1,400,,415,400,405,2129,89.51,315.5
19981207,1,410,,414,410,412,2580,91.05,320.95
19981208,1,411,,411,405,410,1579,90.61,319.39
19981209,1,409,,414,409,413,1192,91.27,321.73
19981210,-1,441,,441,430,431,2768,103.01,534.01
19981211,1,420,,420,420,420,754,92.82,327.18
19981214,1,420,,420,420,420,2410,92.82,327.18
19981215,1,420,,420,415,415,1555,91.72,323.29
19981216,1,411,,411,411,411,668,90.83,320.17
19981217,1,399,,405,399,405,2043,89.51,315.5
19981218,1,411,,411,411,411,2049,90.83,320.17
19981221,-1,420,,425,420,425,3143,101.58,526.58
19981222,-1,438,,438,423,423,1949,101.1,524.1
19981223,-1,438,,440,430,430,7808,102.77,532.77
19981228,-1,450,,450,450,450,1126,107.55,557.55
19981229,-1,432,,432,432,432,579,103.25,535.25
19981230,-1,430,,430,430,430,137,102.77,532.77
19981231,1,420,,420,420,420,947,92.82,327.18
19990104,-1,438,,438,429,429,349,102.53,531.53
19990105,-1,440.5,,440.5,428,428,876,102.29,530.29
19990106,1,430,,430,425,425,1400,93.93,331.08
19990107,1,430,,430,424,424,561,93.7,330.3
19990108,-1,425,,430,420,430,789,102.77,532.77
19990111,-1,430,,430,425,430,1547,102.77,532.77
19990112,-1,430,,430,430,430,2491,102.77,532.77
19990113,1,413,,413,406,406,1142,89.73,316.27
19990114,-1,409,,429,409,429,620,102.53,531.53
19990115,1,414,,414,414,414,684,91.49,322.51
19990118,-1,425,,425,425,425,171,101.58,526.58
19990119,1,420,,420,419.5,420,281,92.82,327.18
19990120,1,441,,441,420,420,2280,92.82,327.18
19990121,-1,435,,435,435,435,2629,103.97,538.97
19990122,-1,428,,428,428,428,435,102.29,530.29
19990125,1,410,,410,410,410,426,90.61,319.39
19990126,1,410,,410,407,407,1634,89.95,317.05
19990127,1,400,,407,400,407,3845,89.95,317.05
19990128,1,400,,410,400,405,1314,89.51,315.5
19990129,1,405,,412,405,411,1833,90.83,320.17
19990201,1,410,,415,410,412,1105,91.05,320.95
19990202,1,412,,414,412,413,622,91.27,321.73
19990203,1,410,,410,405,405,826,89.51,315.5
19990204,1,410,,410,405,405,248,89.51,315.5
19990205,1,398,,400,398,400,437,88.4,311.6
19990208,1,400,,407,400,405,2760,89.51,315.5
19990209,1,400,,400,395.5,399,2928,88.18,310.82
19990210,-1,410,,410,410,410,3237,97.99,507.99
19990211,-1,418,,430,418,424,706,101.34,525.34
19990212,-1,415,,415,415,415,2481,99.19,514.19
19990215,-1,410,,412,410,412,684,98.47,510.47
19990216,1,400,,405,400,405,2044,89.51,315.5
19990217,1,405,,405,405,405,6052,89.51,315.5
19990218,-1,415,,415,410,410,1153,97.99,507.99
19990219,1,394,,405,394,402,4540,88.84,313.16
19990222,1,402,,404,402,402,1610,88.84,313.16
19990223,1,402,,406,402,406,420,89.73,316.27
19990224,-1,405,,409,405,409,1679,97.75,506.75
19990225,1,405,,405,405,405,1965,89.51,315.5
19990226,1,405,,405,405,405,389,89.51,315.5
19990301,-1,417,,419,417,419,1423,100.14,519.14
19990302,-1,420,,422,418,419,2104,100.14,519.14
19990303,-1,411,,411,411,411,696,98.23,509.23
19990304,-1,415,,415,415,415,2734,99.19,514.19
19990305,-1,422,,423,422,422,959,100.86,522.86
19990308,-1,425,,430,425,429,1705,102.53,531.53
19990309,-1,429,,429,425,425,2315,101.58,526.58
19990310,-1,429,,430,428,430,1917,102.77,532.77
19990311,1,428.5,,428.5,407.5,419.5,324,92.71,326.79
19990312,1,420,,420,410,410,2212,90.61,319.39
19990315,1,415,,418,411,418,2435,92.38,325.62
19990316,1,410,,410,409.5,410,3433,90.61,319.39
19990317,1,405,,410,405,410,1091,90.61,319.39
19990318,1,408.5,,408.5,405,405,134,89.51,315.5
19990319,-1,419,,435,419,429.5,7304,102.65,532.15
19990322,-1,432,,445,432,445,3205,106.36,551.36
19990323,-1,425,,435,425,435,396,103.97,538.97
19990324,-1,415,,430,411,430,1120,102.77,532.77
19990325,1,415,,415,413,415,2283,91.72,323.29
19990326,1,415,,415,415,415,1672,91.72,323.29
19990329,1,415,,415,410,415,702,91.72,323.29
19990330,1,415,,415,415,415,5513,91.72,323.29
19990331,1,414,,414,414,414,6323,91.49,322.51
19990401,1,410,,416,410,416,13570,91.94,324.06
