<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<SIGNAL>,<FACTOR>,<FEE>,<FINALPRICE>
20010219,178,195,178,195,1230,1,proponowana akcja sprzedaży,57.97,137.03
20010220,194,194.5,185,194.5,900,1,proponowana akcja sprzedaży,57.82,136.68
20010221,188.5,190,179,190,4428,1,proponowana akcja sprzedaży,56.48,133.52
20010222,180,189,180,189,3320,1,proponowana akcja sprzedaży,56.18,132.82
20010223,189,189.5,183.5,184,558,1,proponowana akcja sprzedaży,54.7,129.3
20010226,188.5,190,185.5,188,323,1,proponowana akcja sprzedaży,55.89,132.11
20010227,186,187,183,185,536,1,proponowana akcja sprzedaży,54.99,130.01
20010228,183.5,183.5,180,181.5,5549,1,proponowana akcja sprzedaży,53.95,127.55
20010301,180.5,183,178.5,181.5,1718,1,proponowana akcja sprzedaży,53.95,127.55
20010302,180,183,180,183,1739,1,proponowana akcja sprzedaży,54.4,128.6
20010305,180.5,181,177,178.5,335,1,proponowana akcja sprzedaży,53.06,125.44
20010306,181.5,181.5,177,179.5,1172,1,proponowana akcja sprzedaży,53.36,126.14
20010307,179.5,182,178,181.5,1092,1,proponowana akcja sprzedaży,53.95,127.55
20010308,182,185,179,180,1437,1,proponowana akcja sprzedaży,53.51,126.49
20010309,180,182,180,182,1740,1,proponowana akcja sprzedaży,54.1,127.9
20010312,180,180,178,178,1397,1,proponowana akcja sprzedaży,52.91,125.09
20010313,163,178,163,175,2170,1,proponowana akcja sprzedaży,52.02,122.98
20010314,172.5,176,172.5,174,1099,1,proponowana akcja sprzedaży,51.72,122.28
20010315,172.5,178.5,172.5,178,299,1,proponowana akcja sprzedaży,52.91,125.09
20010316,175,180,175,178,272,1,proponowana akcja sprzedaży,52.91,125.09
20010319,180,181,175,175,489,1,proponowana akcja sprzedaży,52.02,122.98
20010320,177,192.5,177,181,380,-1,proponowana akcja kupna,66.16,247.16
20010321,179,182,178,180,801,-1,proponowana akcja kupna,65.79,245.79
20010322,182,182,178.5,180,14347,-1,proponowana akcja kupna,65.79,245.79
20010323,178,190,178,185,554,-1,proponowana akcja kupna,67.62,252.62
20010326,188,188,184,187.5,69,-1,proponowana akcja kupna,68.53,256.03
20010327,189,189,180,181.5,7283,1,proponowana akcja sprzedaży,53.95,127.55
20010328,184,185,180.5,184.5,356,-1,proponowana akcja kupna,67.44,251.94
20010329,180.5,184,180.5,183,29,-1,proponowana akcja kupna,66.89,249.89
20010330,181,185,181,185,190,-1,proponowana akcja kupna,67.62,252.62
20010402,185.5,188.5,180.5,188.5,1077,-1,proponowana akcja kupna,68.9,257.4
20010403,182.5,185.5,181,185.5,175,-1,proponowana akcja kupna,67.8,253.3
20010404,184.5,184.5,180,184.5,1313,-1,proponowana akcja kupna,67.44,251.94
20010405,183,185,183,185,254,-1,proponowana akcja kupna,67.62,252.62
20010406,185,185,183,185,342,-1,proponowana akcja kupna,67.62,252.62
20010409,181,187,181,187,377,-1,proponowana akcja kupna,68.35,255.35
20010410,188,190,184,190,561,-1,proponowana akcja kupna,69.45,259.45
20010411,187,190,187,190,208,-1,proponowana akcja kupna,69.45,259.45
20010412,190,190,190,190,110,-1,proponowana akcja kupna,69.45,259.45
20010417,197.5,197.5,184,193,474,-1,proponowana akcja kupna,70.54,263.54
20010418,189,197,189,197,647,-1,proponowana akcja kupna,72,269
20010419,195,200,195,195,863,-1,proponowana akcja kupna,71.27,266.27
20010420,195,197,194,195,2485,-1,proponowana akcja kupna,71.27,266.27
20010423,195,197,193,193,568,-1,proponowana akcja kupna,70.54,263.54
20010424,194,194,187,191,167,1,proponowana akcja sprzedaży,56.78,134.22
20010425,192,192,181.5,191,10742,1,proponowana akcja sprzedaży,56.78,134.22
20010426,193,193,185.5,191,207,1,proponowana akcja sprzedaży,56.78,134.22
20010427,186,188,184,186,18141,1,proponowana akcja sprzedaży,55.29,130.71
20010430,188,188,183,184,3322,1,proponowana akcja sprzedaży,54.7,129.3
20010502,184,184,181,183,3164,1,proponowana akcja sprzedaży,54.4,128.6
20010504,183,184,181,182,177,1,proponowana akcja sprzedaży,54.1,127.9
20010507,185,185,184,184,204,1,proponowana akcja sprzedaży,54.7,129.3
20010508,184,184,180,180,1339,1,proponowana akcja sprzedaży,53.51,126.49
20010509,181,191,181,186,800,-1,proponowana akcja kupna,67.98,253.98
20010510,190,193,187,190.5,718,-1,proponowana akcja kupna,69.63,260.13
20010511,190.5,192,190,192,411,-1,proponowana akcja kupna,70.18,262.18
20010514,193,194.5,192,193.5,478,-1,proponowana akcja kupna,70.72,264.22
20010515,194.5,194.5,192,193,157,-1,proponowana akcja kupna,70.54,263.54
20010516,191.5,193,191.5,193,323,-1,proponowana akcja kupna,70.54,263.54
20010517,191,195,191,195,1407,-1,proponowana akcja kupna,71.27,266.27
20010518,194.5,196,192.5,196,545,-1,proponowana akcja kupna,71.64,267.64
20010521,197,200,194,199.5,1049,-1,proponowana akcja kupna,72.92,272.42
20010522,199.5,199.5,197.5,198.5,282,-1,proponowana akcja kupna,72.55,271.05
20010523,198.5,198.5,194.5,198.5,797,-1,proponowana akcja kupna,72.55,271.05
20010524,194,199.5,194,199.5,869,-1,proponowana akcja kupna,72.92,272.42
20010525,195.5,199.5,195.5,199.5,414,-1,proponowana akcja kupna,72.92,272.42
20010528,196.5,198.5,196.5,198.5,307,-1,proponowana akcja kupna,72.55,271.05
20010529,198,198,197,198,364,-1,proponowana akcja kupna,72.37,270.37
20010530,196,198,195,196,1879,1,proponowana akcja sprzedaży,58.26,137.74
20010531,196,198,196,198,319,-1,proponowana akcja kupna,72.37,270.37
20010601,198.5,198.5,195,195.5,59,1,proponowana akcja sprzedaży,58.12,137.38
20010604,197.5,197.5,194,197,586,-1,proponowana akcja kupna,72,269
20010605,194,197,194,196.5,980,1,proponowana akcja sprzedaży,58.41,138.09
20010606,197,198.5,196,198.5,922,-1,proponowana akcja kupna,72.55,271.05
20010607,195.5,199,195.5,197,765,1,proponowana akcja sprzedaży,58.56,138.44
20010608,196,199,196,198,1121,-1,proponowana akcja kupna,72.37,270.37
20010611,197,198,196,196,2116,1,proponowana akcja sprzedaży,58.26,137.74
20010612,196.5,196.5,193.5,196,633,1,proponowana akcja sprzedaży,58.26,137.74
20010613,192,193.5,192,193,319,1,proponowana akcja sprzedaży,57.37,135.63
20010615,193,193,187.5,190,85,1,proponowana akcja sprzedaży,56.48,133.52
20010618,187,187,179.5,180,7813,1,proponowana akcja sprzedaży,53.51,126.49
20010619,179.5,188,179,188,646,1,proponowana akcja sprzedaży,55.89,132.11
20010620,188,194,183,194,729,-1,proponowana akcja kupna,70.91,264.91
20010621,190,196,190,196,233,-1,proponowana akcja kupna,71.64,267.64
20010622,190.5,195,190.5,195,529,-1,proponowana akcja kupna,71.27,266.27
20010625,193,195,190,195,404,-1,proponowana akcja kupna,71.27,266.27
20010626,193,194.5,191,194.5,364,-1,proponowana akcja kupna,71.09,265.59
20010627,190,194.5,190,194.5,261,-1,proponowana akcja kupna,71.09,265.59
20010628,191.5,192,191.5,192,44,1,proponowana akcja sprzedaży,57.07,134.93
20010629,193,195,191.5,195,190,-1,proponowana akcja kupna,71.27,266.27
20010702,190,194.5,190,194,256,-1,proponowana akcja kupna,70.91,264.91
20010703,193.5,194,182.5,194,1225,-1,proponowana akcja kupna,70.91,264.91
20010704,188.5,193,188.5,193,254,1,proponowana akcja sprzedaży,57.37,135.63
20010705,188.5,193,188.5,193,273,1,proponowana akcja sprzedaży,57.37,135.63
20010706,190.5,190.5,187,187,456,1,proponowana akcja sprzedaży,55.59,131.41
20010709,184.5,187.5,184,186,195,1,proponowana akcja sprzedaży,55.29,130.71
20010710,186,186,185,185,146,1,proponowana akcja sprzedaży,54.99,130.01
20010711,184.5,188,184.5,188,866,1,proponowana akcja sprzedaży,55.89,132.11
20010712,187,190,183.5,190,504,-1,proponowana akcja kupna,69.45,259.45
20010713,188,188,185,185,572,1,proponowana akcja sprzedaży,54.99,130.01
20010716,189.5,189.5,184,186.5,249,1,proponowana akcja sprzedaży,55.44,131.06
20010717,183.5,186,183.5,186,40,1,proponowana akcja sprzedaży,55.29,130.71
20010718,183,185,183,185,90,1,proponowana akcja sprzedaży,54.99,130.01
20010719,185.5,185.5,183,183,40,1,proponowana akcja sprzedaży,54.4,128.6
20010720,184,184,182,182,294,1,proponowana akcja sprzedaży,54.1,127.9
20010723,180,185,180,185,365,1,proponowana akcja sprzedaży,54.99,130.01
20010724,178,183,178,183,300,1,proponowana akcja sprzedaży,54.4,128.6
20010725,179,181,178.5,181,32,1,proponowana akcja sprzedaży,53.8,127.2
20010726,178.5,180,178.5,180,98,1,proponowana akcja sprzedaży,53.51,126.49
20010727,180,180,178,178,115,1,proponowana akcja sprzedaży,52.91,125.09
20010730,178,178,172.5,173,338,1,proponowana akcja sprzedaży,51.43,121.57
20010731,166.5,173,166,173,3566,1,proponowana akcja sprzedaży,51.43,121.57
20010801,169.5,175,169.5,175,51,1,proponowana akcja sprzedaży,52.02,122.98
20010802,171,175,165,175,5991,1,proponowana akcja sprzedaży,52.02,122.98
20010803,170.5,173.5,165,173,661,1,proponowana akcja sprzedaży,51.43,121.57
20010806,168,170.5,167.5,168.5,596,1,proponowana akcja sprzedaży,50.09,118.41
20010807,168.5,175,166,175,344,1,proponowana akcja sprzedaży,52.02,122.98
20010808,178,178,171,172.5,243,1,proponowana akcja sprzedaży,51.28,121.22
20010809,169.5,174.5,169.5,174.5,653,1,proponowana akcja sprzedaży,51.87,122.63
20010810,171,171,168.5,171,4656,1,proponowana akcja sprzedaży,50.83,120.17
20010813,169,173.5,168.5,173.5,237,1,proponowana akcja sprzedaży,51.58,121.92
20010814,170,172,170,172,1269,1,proponowana akcja sprzedaży,51.13,120.87
20010816,170,172,168,172,694,1,proponowana akcja sprzedaży,51.13,120.87
20010817,170,180,168,180,1606,-1,proponowana akcja kupna,65.79,245.79
20010820,175,178,173.5,178,131,-1,proponowana akcja kupna,65.06,243.06
20010821,173.5,177.5,173,177.5,222,-1,proponowana akcja kupna,64.88,242.38
20010822,177.5,179.5,177.5,179.5,32,-1,proponowana akcja kupna,65.61,245.11
20010823,177.5,177.5,170.5,170.5,178,1,proponowana akcja sprzedaży,50.68,119.82
20010824,172,173.5,171,173.5,210,1,proponowana akcja sprzedaży,51.58,121.92
20010827,173.5,174.5,172,174.5,170,1,proponowana akcja sprzedaży,51.87,122.63
20010828,172.5,175,172,175,969,-1,proponowana akcja kupna,63.96,238.96
20010829,171.5,174,171.5,174,122,1,proponowana akcja sprzedaży,51.72,122.28
20010830,173,175,173,175,84,-1,proponowana akcja kupna,63.96,238.96
20010831,175,175,172.5,174,5362,1,proponowana akcja sprzedaży,51.72,122.28
20010903,171.5,172.5,171.5,172,29,1,proponowana akcja sprzedaży,51.13,120.87
20010904,172,174,169.5,174,133,1,proponowana akcja sprzedaży,51.72,122.28
20010905,170.5,174,170.5,174,1965,1,proponowana akcja sprzedaży,51.72,122.28
20010906,173,173,170,171,2431,1,proponowana akcja sprzedaży,50.83,120.17
20010907,170,174,168,174,4815,-1,proponowana akcja kupna,63.6,237.6
20010910,170,174,170,174,54,-1,proponowana akcja kupna,63.6,237.6
20010911,174,174.5,172,174,3027,-1,proponowana akcja kupna,63.6,237.6
20010912,165,176,165,176,396,-1,proponowana akcja kupna,64.33,240.33
20010913,173,173,172,173,167,1,proponowana akcja sprzedaży,51.43,121.57
20010914,170,170.5,168,168.5,248,1,proponowana akcja sprzedaży,50.09,118.41
20010917,160.5,173,160,173,267,-1,proponowana akcja kupna,63.23,236.23
20010918,168,173,168,173,272,-1,proponowana akcja kupna,63.23,236.23
20010919,169,174,169,170,4308,1,proponowana akcja sprzedaży,50.53,119.47
20010920,168,174,168,174,133,-1,proponowana akcja kupna,63.6,237.6
20010921,170.5,173.5,168.5,173.5,399,-1,proponowana akcja kupna,63.41,236.91
20010924,171,172,170,172,84,1,proponowana akcja sprzedaży,51.13,120.87
20010925,170,172,168.5,172,210,1,proponowana akcja sprzedaży,51.13,120.87
20010926,169.5,173.5,169.5,173.5,257,-1,proponowana akcja kupna,63.41,236.91
20010927,173.5,173.5,170,173,156,-1,proponowana akcja kupna,63.23,236.23
20010928,170.5,175,170,175,373,-1,proponowana akcja kupna,63.96,238.96
20011001,171,174,171,173,148,1,proponowana akcja sprzedaży,51.43,121.57
20011002,171,172,171,172,25,1,proponowana akcja sprzedaży,51.13,120.87
20011003,172,172,171,172,151,1,proponowana akcja sprzedaży,51.13,120.87
20011004,171,174,168.5,174,186,-1,proponowana akcja kupna,63.6,237.6
20011005,175,175,175,175,50,-1,proponowana akcja kupna,63.96,238.96
20011008,174,174,168.5,173,62,1,proponowana akcja sprzedaży,51.43,121.57
20011009,174,175,173,175,435,-1,proponowana akcja kupna,63.96,238.96
20011010,175,176,171.5,176,266,-1,proponowana akcja kupna,64.33,240.33
20011011,171,176,171,176,801,-1,proponowana akcja kupna,64.33,240.33
20011012,172.5,174,171,174,685,1,proponowana akcja sprzedaży,51.72,122.28
20011015,171.5,173,169.5,172,607,1,proponowana akcja sprzedaży,51.13,120.87
20011016,171,171,166,166,1889,1,proponowana akcja sprzedaży,49.35,116.65
20011017,166,171,166,171,798,1,proponowana akcja sprzedaży,50.83,120.17
20011018,170,170,167.5,167.5,145,1,proponowana akcja sprzedaży,49.79,117.71
20011019,166.5,168,166.5,167,6131,1,proponowana akcja sprzedaży,49.64,117.36
20011022,169,171,167,171,527,-1,proponowana akcja kupna,62.5,233.5
20011023,171,177,171,177,6227,-1,proponowana akcja kupna,64.69,241.69
20011024,175.5,182.5,175.5,182.5,322,-1,proponowana akcja kupna,66.7,249.2
20011025,184,190,182.5,188,20648,-1,proponowana akcja kupna,68.71,256.71
20011026,189,193.5,187.5,193.5,657,-1,proponowana akcja kupna,70.72,264.22
20011029,194,197.5,192,197.5,346,-1,proponowana akcja kupna,72.19,269.69
20011030,193.5,197.5,191,197.5,311,-1,proponowana akcja kupna,72.19,269.69
20011031,195,198.5,193,198.5,716,-1,proponowana akcja kupna,72.55,271.05
20011102,191,194,191,194,6249,-1,proponowana akcja kupna,70.91,264.91
20011105,191.5,193,189,190,121,-1,proponowana akcja kupna,69.45,259.45
20011106,186,186,184,186,19357,1,proponowana akcja sprzedaży,55.29,130.71
20011107,182,189,182,189,3235,-1,proponowana akcja kupna,69.08,258.08
20011108,193,193,193,193,196,-1,proponowana akcja kupna,70.54,263.54
20011109,190,195,188,195,311,-1,proponowana akcja kupna,71.27,266.27
20011112,192,195.5,188,194.5,2092,-1,proponowana akcja kupna,71.09,265.59
20011113,190,197,190,197,2809,-1,proponowana akcja kupna,72,269
20011114,196,199,193.5,199,394,-1,proponowana akcja kupna,72.73,271.73
20011115,196,200,196,199,888,-1,proponowana akcja kupna,72.73,271.73
20011116,194,199.5,194,199.5,161,-1,proponowana akcja kupna,72.92,272.42
20011119,197,200,197,200,327,-1,proponowana akcja kupna,73.1,273.1
20011120,196.5,203.5,196.5,203.5,808,-1,proponowana akcja kupna,74.38,277.88
20011121,201.5,207,201,203.5,2260,-1,proponowana akcja kupna,74.38,277.88
20011122,200,202.5,200,200.5,109,-1,proponowana akcja kupna,73.28,273.78
20011123,202,202,196,198,410,1,proponowana akcja sprzedaży,58.86,139.14
20011126,198,198,194,197.5,256,1,proponowana akcja sprzedaży,58.71,138.79
20011127,196,200,194,200,1550,-1,proponowana akcja kupna,73.1,273.1
20011129,196.5,196.5,195.5,196,851,1,proponowana akcja sprzedaży,58.26,137.74
20011130,196.5,200,196.5,200,102,-1,proponowana akcja kupna,73.1,273.1
20011203,196,196.5,196,196.5,141,1,proponowana akcja sprzedaży,58.41,138.09
20011204,195,196.5,192.5,194,2442,1,proponowana akcja sprzedaży,57.67,136.33
20011205,194,196.5,194,196.5,672,1,proponowana akcja sprzedaży,58.41,138.09
20011206,192.5,200.5,192.5,200.5,10849,-1,proponowana akcja kupna,73.28,273.78
20011207,196,204,196,202,239,-1,proponowana akcja kupna,73.83,275.83
20011210,198.5,202.5,198.5,202.5,272,-1,proponowana akcja kupna,74.01,276.51
20011211,200,202,199,202,1138,-1,proponowana akcja kupna,73.83,275.83
20011212,199,202,198,202,482,-1,proponowana akcja kupna,73.83,275.83
20011213,198.5,198.5,198,198,9,1,proponowana akcja sprzedaży,58.86,139.14
20011214,198,201.5,197,201.5,335,-1,proponowana akcja kupna,73.65,275.15
20011217,198,203,198,203,485,-1,proponowana akcja kupna,74.2,277.2
20011218,200,203,200,203,145,-1,proponowana akcja kupna,74.2,277.2
20011219,199,210,199,208,883,-1,proponowana akcja kupna,76.02,284.02
20011220,210,216,206,215,517,-1,proponowana akcja kupna,78.58,293.58
20011221,215,219.5,215,219.5,444,-1,proponowana akcja kupna,80.23,299.73
20011227,220,222,215,222,412,-1,proponowana akcja kupna,81.14,303.14
20011228,222,225,218,225,1593,-1,proponowana akcja kupna,82.24,307.24
20011231,223,230,223,230,1230,-1,proponowana akcja kupna,84.07,314.07
20020102,235,238,230,238,241,-1,proponowana akcja kupna,86.99,324.99
20020103,240,241.5,240,240,447,-1,proponowana akcja kupna,87.72,327.72
20020104,238,240,230,230,1394,-1,proponowana akcja kupna,84.07,314.07
20020107,243.5,243.5,230,235,363,-1,proponowana akcja kupna,85.89,320.89
20020108,235,236.5,230,236.5,2447,-1,proponowana akcja kupna,86.44,322.94
20020109,230,236.5,228,236,847,-1,proponowana akcja kupna,86.26,322.26
20020110,233,239,227,237,2191,-1,proponowana akcja kupna,86.62,323.62
20020111,237,243,237,243,5433,-1,proponowana akcja kupna,88.82,331.82
20020114,242,245,241,242,176,-1,proponowana akcja kupna,88.45,330.45
20020115,236,246.5,236,242,7818,-1,proponowana akcja kupna,88.45,330.45
20020116,242.5,245,242.5,244,196,-1,proponowana akcja kupna,89.18,333.18
20020117,242,245,242,245,1730,-1,proponowana akcja kupna,89.55,334.55
20020118,245,247,243,247,225,-1,proponowana akcja kupna,90.28,337.28
20020121,245,246,242,243,126,-1,proponowana akcja kupna,88.82,331.82
20020122,243,248,243,246,507,-1,proponowana akcja kupna,89.91,335.91
20020123,248,253.5,248,253.5,386,-1,proponowana akcja kupna,92.65,346.15
20020124,253.5,264,252.5,264,1251,-1,proponowana akcja kupna,96.49,360.49
20020125,266,280,266,272,708,-1,proponowana akcja kupna,99.42,371.42
20020128,272,275,266.5,275,412,-1,proponowana akcja kupna,100.51,375.51
20020129,270.5,271,267,270,474,-1,proponowana akcja kupna,98.69,368.69
20020130,265.5,272,265.5,268.5,331,-1,proponowana akcja kupna,98.14,366.64
20020131,272,272,270,271.5,136,-1,proponowana akcja kupna,99.23,370.73
20020201,275,275,270.5,272,373,-1,proponowana akcja kupna,99.42,371.42
20020204,270,270,268.5,270,239,-1,proponowana akcja kupna,98.69,368.69
20020205,267,269.5,260,269.5,68,-1,proponowana akcja kupna,98.5,368
20020206,264.5,270,264.5,270,364,-1,proponowana akcja kupna,98.69,368.69
20020207,265,267.5,264,267.5,948,-1,proponowana akcja kupna,97.77,365.27
20020208,265,268,263,268,705,-1,proponowana akcja kupna,97.95,365.95
20020211,265,265,261,263.5,131,1,proponowana akcja sprzedaży,78.33,185.17
20020212,255,266,255,266,193,1,proponowana akcja sprzedaży,79.07,186.93
20020213,265,265,259,265,413,1,proponowana akcja sprzedaży,78.77,186.23
20020214,262,262,256.5,259,363,1,proponowana akcja sprzedaży,76.99,182.01
20020215,255,264.5,255,264,132,1,proponowana akcja sprzedaży,78.48,185.52
20020218,257.5,264,257.5,264,703,1,proponowana akcja sprzedaży,78.48,185.52
20020219,266,267,265,267,1227,-1,proponowana akcja kupna,97.59,364.59
20020220,262,266,261.5,265,1859,-1,proponowana akcja kupna,96.86,361.86
20020221,261,266.5,261,266.5,129,-1,proponowana akcja kupna,97.41,363.91
20020222,264,266,263,266,27,-1,proponowana akcja kupna,97.22,363.22
20020225,263,270,263,269,381,-1,proponowana akcja kupna,98.32,367.32
20020226,266.5,270,263.5,270,107,-1,proponowana akcja kupna,98.69,368.69
20020227,268,270,264,270,618,-1,proponowana akcja kupna,98.69,368.69
20020228,265,270,265,268,96,-1,proponowana akcja kupna,97.95,365.95
20020301,265,270,265,270,419,-1,proponowana akcja kupna,98.69,368.69
20020304,266.5,273,266.5,273,129,-1,proponowana akcja kupna,99.78,372.78
20020305,268.5,273,268,273,245,-1,proponowana akcja kupna,99.78,372.78
20020306,269,273,269,273,151,-1,proponowana akcja kupna,99.78,372.78
20020308,269.5,273,269,273,329,-1,proponowana akcja kupna,99.78,372.78
20020311,269.5,273,267,273,494,-1,proponowana akcja kupna,99.78,372.78
20020312,268.5,270,268.5,270,69,1,proponowana akcja sprzedaży,80.26,189.74
20020313,267.5,270,267.5,270,49,1,proponowana akcja sprzedaży,80.26,189.74
20020314,268,271,268,271,411,-1,proponowana akcja kupna,99.05,370.05
20020315,268.5,273,268.5,273,120,-1,proponowana akcja kupna,99.78,372.78
20020318,269.5,273,269,273,231,-1,proponowana akcja kupna,99.78,372.78
20020319,269.5,273.5,269.5,273.5,30,-1,proponowana akcja kupna,99.96,373.46
20020320,270.5,273.5,270,273.5,212,-1,proponowana akcja kupna,99.96,373.46
20020321,271,271,269,269.5,38803,1,proponowana akcja sprzedaży,80.11,189.39
20020322,269,272.5,268.5,272.5,1178,-1,proponowana akcja kupna,99.6,372.1
20020325,269,272.5,269,272.5,142,-1,proponowana akcja kupna,99.6,372.1
20020326,272,274.5,269.5,273.5,196,-1,proponowana akcja kupna,99.96,373.46
20020327,273.5,273.5,269,273.5,13193,-1,proponowana akcja kupna,99.96,373.46
20020328,270,274,269,274,652,-1,proponowana akcja kupna,100.15,374.15
20020402,268,274,267,274,1248,-1,proponowana akcja kupna,100.15,374.15
20020403,270.5,273,270,273,99,-1,proponowana akcja kupna,99.78,372.78
20020404,270,273,269.5,273,279,-1,proponowana akcja kupna,99.78,372.78
20020405,270,272,270,272,171,1,proponowana akcja sprzedaży,80.86,191.14
20020408,270,273,270,273,102,-1,proponowana akcja kupna,99.78,372.78
20020409,271,274,271,272,231,1,proponowana akcja sprzedaży,80.86,191.14
20020410,270,275,270,273,342,-1,proponowana akcja kupna,99.78,372.78
20020411,270.5,275,270.5,275,743,-1,proponowana akcja kupna,100.51,375.51
20020412,272,274,272,274,76,-1,proponowana akcja kupna,100.15,374.15
20020415,271.5,276,271.5,275,125,-1,proponowana akcja kupna,100.51,375.51
20020416,271,277.5,271,277.5,413,-1,proponowana akcja kupna,101.43,378.93
20020417,276,278,274,277.5,166,-1,proponowana akcja kupna,101.43,378.93
20020418,275,277.5,275,277.5,85,-1,proponowana akcja kupna,101.43,378.93
20020419,276,277.5,275,277.5,58,-1,proponowana akcja kupna,101.43,378.93
20020422,273,277.5,273,277.5,171,-1,proponowana akcja kupna,101.43,378.93
20020423,277,277.5,273,277.5,183,-1,proponowana akcja kupna,101.43,378.93
20020424,274,277.5,273,277.5,217,-1,proponowana akcja kupna,101.43,378.93
20020425,275,280,275,280,273,-1,proponowana akcja kupna,102.34,382.34
20020426,276.5,286,276.5,286,282,-1,proponowana akcja kupna,104.53,390.53
20020429,285.5,297.5,285.5,293,77,-1,proponowana akcja kupna,107.09,400.09
20020430,298,303,296,303,298,-1,proponowana akcja kupna,110.75,413.75
20020502,303,325,303,312,314,-1,proponowana akcja kupna,114.04,426.04
20020506,313,320,313,319,843,-1,proponowana akcja kupna,116.6,435.6
20020507,325,328,321,328,1348,-1,proponowana akcja kupna,119.88,447.88
20020508,331,331,311,316,271,-1,proponowana akcja kupna,115.5,431.5
20020509,310.5,312,307,312,450,-1,proponowana akcja kupna,114.04,426.04
20020510,312,312,299,309,1025,-1,proponowana akcja kupna,112.94,421.94
20020513,303,308.5,301,308.5,348,-1,proponowana akcja kupna,112.76,421.26
20020514,305,308,305,308,97,-1,proponowana akcja kupna,112.57,420.57
20020515,305,309,303.5,309,302,-1,proponowana akcja kupna,112.94,421.94
20020516,308,311,304.5,310,13016,-1,proponowana akcja kupna,113.31,423.31
20020517,310,320,307.5,320,332,-1,proponowana akcja kupna,116.96,436.96
20020520,320,324,312,322,1158,-1,proponowana akcja kupna,117.69,439.69
20020521,324,324,317,324,225,-1,proponowana akcja kupna,118.42,442.42
20020522,320,324,320,320,175,-1,proponowana akcja kupna,116.96,436.96
20020523,318,321,318,321,1480,-1,proponowana akcja kupna,117.33,438.33
20020524,320,321,318,320,316,-1,proponowana akcja kupna,116.96,436.96
20020527,320,324,318,324,157,-1,proponowana akcja kupna,118.42,442.42
20020528,320.5,324.5,320,324.5,10146,-1,proponowana akcja kupna,118.61,443.11
20020529,322,330,322,330,1281,-1,proponowana akcja kupna,120.62,450.62
20020531,330,330,326,330,415,-1,proponowana akcja kupna,120.62,450.62
20020603,325,330,323.5,330,239,-1,proponowana akcja kupna,120.62,450.62
20020604,325,330,325,330,424,-1,proponowana akcja kupna,120.62,450.62
20020605,327,330,325,330,1949,-1,proponowana akcja kupna,120.62,450.62
20020606,326.5,330,326.5,330,61,-1,proponowana akcja kupna,120.62,450.62
20020607,327,330,327,330,139,-1,proponowana akcja kupna,120.62,450.62
20020610,327.5,330,325,330,238,-1,proponowana akcja kupna,120.62,450.62
20020611,327,330,327,330,111,-1,proponowana akcja kupna,120.62,450.62
20020612,327,333,323,333,1088,-1,proponowana akcja kupna,121.71,454.71
20020613,333,335,330,335,56,-1,proponowana akcja kupna,122.44,457.44
20020614,335,340,335,339,131,-1,proponowana akcja kupna,123.91,462.91
20020617,337,340,336.5,339.5,133,-1,proponowana akcja kupna,124.09,463.59
20020618,338.5,339.5,337,339.5,193,-1,proponowana akcja kupna,124.09,463.59
20020619,337,339,336.5,337.5,1441,-1,proponowana akcja kupna,123.36,460.86
20020620,334,334,320,320,2507,1,proponowana akcja sprzedaży,95.12,224.88
20020621,320,329.5,320,329.5,90,1,proponowana akcja sprzedaży,97.95,231.55
20020624,331,332,324,324,309,1,proponowana akcja sprzedaży,96.31,227.69
20020625,321.5,330,321.5,330,157,1,proponowana akcja sprzedaży,98.1,231.9
20020626,324,326.5,322.5,326.5,214,1,proponowana akcja sprzedaży,97.06,229.44
20020627,326,329,322,329,288,1,proponowana akcja sprzedaży,97.8,231.2
20020628,324.5,328,320.5,328,319,1,proponowana akcja sprzedaży,97.5,230.5
20020701,324,327.5,324,327.5,76,1,proponowana akcja sprzedaży,97.35,230.15
20020702,325,325.5,321.5,325.5,259,1,proponowana akcja sprzedaży,96.76,228.74
20020703,322,326,321,326,329,1,proponowana akcja sprzedaży,96.91,229.09
20020704,327,327,323,326.5,110,1,proponowana akcja sprzedaży,97.06,229.44
20020705,323.5,324.5,322.5,324.5,395,1,proponowana akcja sprzedaży,96.46,228.04
20020708,324.5,324.5,321.5,324.5,79,1,proponowana akcja sprzedaży,96.46,228.04
20020709,323,327.5,322,324,907,1,proponowana akcja sprzedaży,96.31,227.69
20020710,322.5,325.5,321.5,325.5,129,1,proponowana akcja sprzedaży,96.76,228.74
20020711,325,325.5,324,324.5,1578,1,proponowana akcja sprzedaży,96.46,228.04
20020712,322,323,320.5,323,119,1,proponowana akcja sprzedaży,96.02,226.98
20020715,321,321,316,321,88,1,proponowana akcja sprzedaży,95.42,225.58
20020716,320,321,315.5,321,248,1,proponowana akcja sprzedaży,95.42,225.58
20020717,321,324,319,324,101,-1,proponowana akcja kupna,118.42,442.42
20020718,321,323,320.5,323,143,1,proponowana akcja sprzedaży,96.02,226.98
20020719,316,316,310,315,288,1,proponowana akcja sprzedaży,93.64,221.36
20020722,303,314.5,303,314,319,1,proponowana akcja sprzedaży,93.34,220.66
20020723,304.5,312.5,303,307,468,1,proponowana akcja sprzedaży,91.26,215.74
