<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<SIGNAL>,<FACTOR>,<FEE>,<FINALPRICE>
20141107,396,396,396,396,8,-1,proponowana akcja kupna,144.74,540.74
20141110,396,398.5,396,398.5,56,-1,proponowana akcja kupna,145.65,544.15
20141112,398.45,398.5,395,398.5,40,-1,proponowana akcja kupna,145.65,544.15
20141114,398.5,398.5,386.85,387.5,144,1,proponowana akcja sprzedaży,115.19,272.31
20141117,388.05,388.05,388.05,388.05,1,1,proponowana akcja sprzedaży,115.35,272.7
20141118,394.95,395,394.95,395,11,-1,proponowana akcja kupna,144.37,539.37
20141119,388.05,400,388.05,393.55,198,-1,proponowana akcja kupna,143.84,537.39
20141120,390.5,390.5,389.5,389.5,24,1,proponowana akcja sprzedaży,115.78,273.72
20141121,390.05,390.05,388.65,388.75,28,1,proponowana akcja sprzedaży,115.56,273.19
20141124,394,394,394,394,10,-1,proponowana akcja kupna,144.01,538.01
20141125,393.5,393.5,393.5,393.5,7,-1,proponowana akcja kupna,143.82,537.32
20141126,389,389,389,389,10,1,proponowana akcja sprzedaży,115.64,273.36
20141127,390,390,388.05,388.05,47,1,proponowana akcja sprzedaży,115.35,272.7
20141128,388.05,390,388.05,390,79,1,proponowana akcja sprzedaży,115.93,274.07
20141201,388.5,391,388.5,391,21,-1,proponowana akcja kupna,142.91,533.91
20141202,388.6,390,388.6,390,420,1,proponowana akcja sprzedaży,115.93,274.07
20141203,390,391,386.1,386.1,89,1,proponowana akcja sprzedaży,114.77,271.33
20141204,391.95,391.95,389.95,389.95,13,-1,proponowana akcja kupna,142.53,532.48
20141208,387.5,387.5,386.1,386.1,1307,1,proponowana akcja sprzedaży,114.77,271.33
20141209,386.1,386.1,380.5,380.5,2116,1,proponowana akcja sprzedaży,113.11,267.39
20141210,381,381.5,376.05,380,42,1,proponowana akcja sprzedaży,112.96,267.04
20141211,389.5,389.5,380.05,385,35,1,proponowana akcja sprzedaży,114.45,270.55
20141212,390,390,381.05,385,100,1,proponowana akcja sprzedaży,114.45,270.55
20141215,390,390,381,388,310,-1,proponowana akcja kupna,141.81,529.81
20141216,380,382,375,377.15,259,1,proponowana akcja sprzedaży,112.11,265.04
20141217,390,390,390,390,24,-1,proponowana akcja kupna,142.55,532.55
20141218,390,390,389.95,390,308,-1,proponowana akcja kupna,142.55,532.55
20141219,380.2,390,380.2,389.95,204,-1,proponowana akcja kupna,142.53,532.48
20141222,389.95,390,377.2,390,180,-1,proponowana akcja kupna,142.55,532.55
20141223,389.95,389.95,381,381,60,1,proponowana akcja sprzedaży,113.26,267.74
20141229,389.9,389.9,377.5,377.55,181,1,proponowana akcja sprzedaży,112.23,265.32
20141230,378,378,378,378,1,1,proponowana akcja sprzedaży,112.37,265.63
20150102,379.55,380,379.55,380,65,1,proponowana akcja sprzedaży,112.96,267.04
20150105,380.05,380.05,380.05,380.05,7,1,proponowana akcja sprzedaży,112.98,267.07
20150107,387,390.85,387,390.85,59,-1,proponowana akcja kupna,142.86,533.71
