Date,Open,High,Low,Close,Volume,FinalPrice,AdditionalFee,JsonSerialization
19970228,190,190,190,190,7563,235.41,45.41,False
19970303,189,189,189,189,5420,234.17,45.17,False
19970304,189,189,189,189,7328,234.17,45.17,False
19970305,190,190,190,190,11102,235.41,45.41,False
19970306,189,189,189,189,6608,234.17,45.17,False
19970307,195,195,195,195,7565,241.61,46.61,False
19970310,191,191,191,191,2529,236.65,45.65,False
19970311,192,192,192,192,2417,237.89,45.89,False
19970312,195,195,195,195,12362,241.61,46.61,False
19970313,194,194,194,194,6769,240.37,46.37,False
19970314,193,193,193,193,5085,239.13,46.13,False
19970317,195,198,195,198,2934,245.32,47.32,False
19970318,200,200,200,200,2195,247.8,47.8,False
19970319,202,202,200,201,5840,249.04,48.04,False
19970320,202,205,202,205,6883,254,49,False
19970321,200,200,200,200,13227,247.8,47.8,False
19970324,200,200,200,200,11142,247.8,47.8,False
19970325,205,208,205,208,3650,257.71,49.71,False
19970326,214,214,214,214,4234,265.15,51.15,False
19970327,215,215,215,215,3167,266.39,51.39,False
19970401,203.5,203.5,203.5,203.5,875,158.53,44.97,False
19970402,200,200,199,199,3920,155.02,43.98,False
19970403,200,200,192,200,3260,155.8,44.2,False
19970404,205,205,205,205,1522,254,49,False
19970407,203.5,206,203.5,206,1288,255.23,49.23,False
19970408,204.5,204.5,204.5,204.5,3252,253.38,48.88,False
19970409,205,206,205,206,3495,255.23,49.23,False
19970410,204,204,204,204,4265,158.92,45.08,False
19970411,206,207,206,207,3254,256.47,49.47,False
19970414,209,209,209,209,9098,258.95,49.95,False
19970415,209,209,209,209,1383,258.95,49.95,False
19970416,209,209,209,209,1376,258.95,49.95,False
19970417,207,207,207,207,423,256.47,49.47,False
19970418,210,210,210,210,6552,260.19,50.19,False
19970421,208,208,206.5,206.5,1554,160.86,45.64,False
19970422,211,211,211,211,645,261.43,50.43,False
19970423,213,213,213,213,2108,263.91,50.91,False
19970424,215,215,215,215,386,266.39,51.39,False
19970425,214,214,214,214,554,265.15,51.15,False
19970428,205,205,205,205,522,159.7,45.31,False
19970429,205,205,205,205,812,159.7,45.31,False
19970430,207,207,207,207,2614,161.25,45.75,False
19970505,205,205,205,205,600,159.7,45.31,False
19970506,209,209,209,209,254,258.95,49.95,False
19970507,210,210,210,210,3545,260.19,50.19,False
19970508,200,200,200,200,562,155.8,44.2,False
19970509,202,202,202,202,1619,157.36,44.64,False
19970512,197,197,197,197,1822,153.46,43.54,False
19970513,197,197,197,197,3241,153.46,43.54,False
19970514,200,200,200,200,525,155.8,44.2,False
19970515,194,195,192.5,192.5,3870,149.96,42.54,False
19970516,190,190,190,190,9734,148.01,41.99,False
19970519,190,190,190,190,8239,148.01,41.99,False
19970520,191,191,191,191,13885,148.79,42.21,False
19970521,190,190,190,190,6413,148.01,41.99,False
19970522,190,190,190,190,990,148.01,41.99,False
19970523,186,186,186,186,223,144.89,41.11,False
19970526,188,188,188,188,638,146.45,41.55,False
19970527,178.5,181,178.5,181,1572,141,40,False
19970528,176,177,176,177,2300,137.88,39.12,False
19970530,179.5,179.5,179.5,179.5,1669,139.83,39.67,False
19970602,187,187,187,187,1436,231.69,44.69,False
19970603,190,190,185,185,8953,144.12,40.89,False
19970604,190,190,190,190,5850,235.41,45.41,False
19970605,190,190,190,190,2279,235.41,45.41,False
19970606,209,209,207,208,5432,257.71,49.71,False
19970609,200,200,200,200,2195,247.8,47.8,False
19970610,202,202,202,202,4195,250.28,48.28,False
19970611,205,205,205,205,11563,254,49,False
19970612,205,205,205,205,12937,254,49,False
19970613,200,200,200,200,5917,247.8,47.8,False
19970616,190,190,190,190,5118,148.01,41.99,False
19970617,200,200,200,200,12610,247.8,47.8,False
19970618,200,200,200,200,19647,247.8,47.8,False
19970619,200,200,200,200,37230,247.8,47.8,False
19970620,202,203,202,203,23575,251.52,48.52,False
19970623,205,205,205,205,15478,254,49,False
19970624,206,206,206,206,5699,255.23,49.23,False
19970625,205,205,205,205,3244,254,49,False
19970626,208,208,208,208,13191,257.71,49.71,False
19970627,210,210,210,210,3921,260.19,50.19,False
19970630,210,210,210,210,9781,260.19,50.19,False
19970701,212,212,212,212,2618,262.67,50.67,False
19970702,214,214,214,214,1622,265.15,51.15,False
19970703,220,230,220,230,4439,284.97,54.97,False
19970704,225,225,220,220,6963,272.58,52.58,False
19970707,225,225,225,225,11009,278.78,53.78,False
19970708,234,240,234,240,3375,297.36,57.36,False
19970709,234,234,234,234,7154,289.93,55.93,False
19970710,235,235,235,235,7511,291.17,56.17,False
19970711,235,235,235,235,9251,291.17,56.17,False
19970714,237,237,237,237,6055,293.64,56.64,False
19970715,237,237,237,237,6662,293.64,56.64,False
19970716,238,238,238,238,4693,294.88,56.88,False
19970717,235,235,235,235,4184,291.17,56.17,False
19970718,214,215,214,215,587,167.49,47.52,False
19970721,215,215,215,215,640,167.49,47.52,False
19970722,216,216,216,216,1593,168.26,47.74,False
19970723,218,218,218,218,3023,169.82,48.18,False
19970724,222,222,222,222,369,172.94,49.06,False
19970725,229,229,220,220,827,171.38,48.62,False
19970728,230,230,230,230,5078,284.97,54.97,False
19970729,232,232,232,232,2515,287.45,55.45,False
19970730,234,236,234,236,3211,292.4,56.4,False
19970731,234,234,234,234,3382,289.93,55.93,False
19970801,235,235,235,235,10211,291.17,56.17,False
19970804,236,236,236,236,5011,292.4,56.4,False
19970805,237.5,237.5,237.5,237.5,5695,294.26,56.76,False
19970806,240,240,240,240,6256,297.36,57.36,False
19970807,264,264,264,264,6491,327.1,63.1,False
19970808,264,264,264,264,3116,327.1,63.1,False
19970811,264,264,264,264,2242,327.1,63.1,False
19970812,238,238,238,238,5773,185.4,52.6,False
19970813,242,242,242,242,3081,188.52,53.48,False
19970814,250,250,250,250,2372,309.75,59.75,False
19970818,252,252,252,252,3278,312.23,60.23,False
19970819,250,250,250,250,550,309.75,59.75,False
19970820,260,260,260,260,1660,322.14,62.14,False
19970821,264,264,264,264,3271,327.1,63.1,False
19970822,264,264,264,264,1920,327.1,63.1,False
19970825,265,265,265,265,1568,328.34,63.34,False
19970826,265,265,265,265,1688,328.34,63.34,False
19970827,265,270,265,270,1441,334.53,64.53,False
19970828,270,271,270,271,6682,335.77,64.77,False
19970829,270,270,255,255,5838,198.65,56.36,False
19970901,268,282,268,282,876,349.4,67.4,False
19970902,270,270,270,270,2035,334.53,64.53,False
19970903,272,272,272,272,1449,337.01,65.01,False
19970904,273,273,273,273,994,338.25,65.25,False
19970905,274,290,274,290,928,359.31,69.31,False
19970908,275,275,275,275,1161,340.73,65.73,False
19970909,275,275,275,275,13598,340.73,65.73,False
19970910,269,269,269,269,6962,209.55,59.45,False
19970911,270,270,270,270,9165,210.33,59.67,False
19970912,270,270,270,270,11221,210.33,59.67,False
19970915,270,270,270,270,14359,210.33,59.67,False
19970916,270,270,270,270,21710,210.33,59.67,False
19970917,270,270,270,270,24557,210.33,59.67,False
19970918,272,272,272,272,17118,337.01,65.01,False
19970919,274,274,274,274,35998,339.49,65.49,False
